gate,theta_radians,p0,p1,expectation_x,expectation_y,expectation_z,norm
RX,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RX,0.7853981633974483,0.8535533905932737,0.14644660940672624,0.0,-0.7071067811865476,0.7071067811865475,1.0
RX,1.5707963267948966,0.5000000000000001,0.4999999999999999,0.0,-1.0,2.220446049250313e-16,1.0
RX,2.356194490192345,0.1464466094067263,0.8535533905932737,0.0,-0.7071067811865477,-0.7071067811865475,1.0
RX,3.141592653589793,3.749399456654644e-33,1.0,0.0,-1.2246467991473532e-16,-1.0,1.0
RY,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RY,0.7853981633974483,0.8535533905932737,0.14644660940672624,0.7071067811865476,0.0,0.7071067811865475,1.0
RY,1.5707963267948966,0.5000000000000001,0.4999999999999999,1.0,0.0,1.9967346175427393e-16,1.0
RY,2.356194490192345,0.1464466094067263,0.8535533905932737,0.7071067811865477,0.0,-0.7071067811865475,1.0
RY,3.141592653589793,3.749399456654644e-33,1.0,1.2246467991473532e-16,0.0,-1.0,1.0
RZ,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RZ,0.7853981633974483,1.0,0.0,0.0,0.0,1.0,1.0
RZ,1.5707963267948966,1.0,0.0,0.0,0.0,1.0,1.0
RZ,2.356194490192345,1.0,0.0,0.0,0.0,1.0,1.0
RZ,3.141592653589793,1.0,0.0,0.0,0.0,1.0,1.0
