sweep,loss,step,evaluations,weights
0,0.1535815266023087,0.4,1,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]"
1,0.01294782276290705,0.4,9,"[0.44884590133435204, 0.5356356640157712, -0.11710587627041394, -0.18173462462506965]"
2,0.012028196581904115,0.4,17,"[0.048845901334352015, 0.5356356640157712, -0.11710587627041394, 0.21826537537493038]"
3,0.012028196581904115,0.4,25,"[0.048845901334352015, 0.5356356640157712, -0.11710587627041394, 0.21826537537493038]"
4,0.0023329094685612117,0.2,33,"[0.048845901334352015, 0.5356356640157712, 0.08289412372958607, 0.018265375374930365]"
5,0.0023329094685612117,0.2,41,"[0.048845901334352015, 0.5356356640157712, 0.08289412372958607, 0.018265375374930365]"
6,0.0007865067981820496,0.1,49,"[-0.05115409866564799, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
7,0.0007860305887304227,0.1,57,"[0.048845901334352015, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
8,0.0007854511861756269,0.1,65,"[0.14884590133435202, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
9,0.0007847447402489413,0.1,73,"[0.24884590133435203, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
10,0.0007838621118495171,0.1,81,"[0.348845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
11,0.0007827419493399449,0.1,89,"[0.448845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
12,0.0007813157155581429,0.1,97,"[0.548845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
13,0.0007794995651074982,0.1,105,"[0.6488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
14,0.0007772159548407359,0.1,113,"[0.7488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
15,0.0007743806569365341,0.1,121,"[0.8488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
16,0.0007709241009970127,0.1,129,"[0.9488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
17,0.0007667824452605803,0.1,137,"[1.0488459013343518, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
18,0.0007619096106658038,0.1,145,"[1.148845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
19,0.0007562820214040526,0.1,153,"[1.248845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
20,0.0007498963364349497,0.1,161,"[1.3488459013343521, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
21,0.000742775657107865,0.1,169,"[1.4488459013343522, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
22,0.0007349708223686634,0.1,177,"[1.5488459013343523, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
23,0.000726559462240887,0.1,185,"[1.6488459013343524, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
24,0.0007176474300230176,0.1,193,"[1.7488459013343525, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
25,0.0007083604643867073,0.1,201,"[1.8488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
26,0.0006988521860108452,0.1,209,"[1.9488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
27,0.0006892888071344098,0.1,217,"[2.0488459013343525, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
28,0.0006798560132900781,0.1,225,"[2.1488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
29,0.0006707392577832106,0.1,233,"[2.2488459013343527, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
30,0.0006621357143347381,0.1,241,"[2.348845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
31,0.0006542316370172038,0.1,249,"[2.448845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
32,0.0006472074601664476,0.1,257,"[2.548845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
33,0.0006412268007235098,0.1,265,"[2.648845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
34,0.0006364335274078163,0.1,273,"[2.748845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
35,0.0006329453998589146,0.1,281,"[2.8488459013343532, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
36,0.0006308507752085684,0.1,289,"[2.9488459013343533, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
37,0.0006302030981631007,0.1,297,"[3.0488459013343534, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
38,0.0006302030981631007,0.1,305,"[3.0488459013343534, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
39,0.0003105534719770491,0.05,313,"[3.0488459013343534, 0.5856356640157712, 0.1328941237295861, 0.018265375374930365]"
40,0.0002530627372715113,0.05,321,"[3.0488459013343534, 0.5856356640157712, 0.08289412372958609, 0.018265375374930365]"
