sweep,loss,step,evaluations,weights
0,0.15358154003361077,0.4,1,"[0.048845901334352015, 0.13563566401577118, -0.11710587627041394, -0.18173462462506965]"
1,0.012947824445497306,0.4,9,"[0.44884590133435204, 0.5356356640157712, -0.11710587627041394, -0.18173462462506965]"
2,0.012028194912572596,0.4,17,"[0.048845901334352015, 0.5356356640157712, -0.11710587627041394, 0.21826537537493038]"
3,0.012028194912572596,0.4,25,"[0.048845901334352015, 0.5356356640157712, -0.11710587627041394, 0.21826537537493038]"
4,0.0023329071131994433,0.2,33,"[0.048845901334352015, 0.5356356640157712, 0.08289412372958607, 0.018265375374930365]"
5,0.0023329071131994433,0.2,41,"[0.048845901334352015, 0.5356356640157712, 0.08289412372958607, 0.018265375374930365]"
6,0.0007865071955342966,0.1,49,"[-0.05115409866564799, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
7,0.000786030160238998,0.1,57,"[0.048845901334352015, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
8,0.0007854520093569885,0.1,65,"[0.14884590133435202, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
9,0.0007847442482461467,0.1,73,"[0.24884590133435203, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
10,0.0007838610452315258,0.1,81,"[0.348845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
11,0.000782741798631519,0.1,89,"[0.448845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
12,0.0007813145100794667,0.1,97,"[0.548845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
13,0.00077949982009176,0.1,105,"[0.6488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
14,0.0007772155333547267,0.1,113,"[0.7488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
15,0.0007743814397176511,0.1,121,"[0.8488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
16,0.0007709242232661347,0.1,129,"[0.9488459013343519, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
17,0.000766782246667091,0.1,137,"[1.0488459013343518, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
18,0.0007619100014494249,0.1,145,"[1.148845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
19,0.0007562820268885781,0.1,153,"[1.248845901334352, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
20,0.0007498961202326671,0.1,161,"[1.3488459013343521, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
21,0.0007427756883551442,0.1,169,"[1.4488459013343522, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
22,0.0007349711244615414,0.1,177,"[1.5488459013343523, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
23,0.0007265601318857649,0.1,185,"[1.6488459013343524, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
24,0.0007176469587587825,0.1,193,"[1.7488459013343525, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
25,0.0007083605507555967,0.1,201,"[1.8488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
26,0.000698851672496245,0.1,209,"[1.9488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
27,0.0006892890897595891,0.1,217,"[2.0488459013343525, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
28,0.0006798549428040743,0.1,225,"[2.1488459013343526, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
29,0.0006707394742492516,0.1,233,"[2.2488459013343527, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
30,0.0006621353018250373,0.1,241,"[2.348845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
31,0.0006542314457602148,0.1,249,"[2.448845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
32,0.0006472073318692274,0.1,257,"[2.548845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
33,0.0006412269940407945,0.1,265,"[2.648845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
34,0.0006364336937117539,0.1,273,"[2.748845901334353, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
35,0.0006329451592505249,0.1,281,"[2.8488459013343532, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
36,0.0006308496255413548,0.1,289,"[2.9488459013343533, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
37,0.0006302028243340943,0.1,297,"[3.0488459013343534, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
38,0.0006302028243340943,0.1,305,"[3.0488459013343534, 0.6356356640157712, 0.18289412372958608, 0.018265375374930365]"
39,0.00031055297706507757,0.05,313,"[3.0488459013343534, 0.5856356640157712, 0.1328941237295861, 0.018265375374930365]"
40,0.0002530625455152429,0.05,321,"[3.0488459013343534, 0.5856356640157712, 0.08289412372958609, 0.018265375374930365]"
