state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
bell,X,10000,43,5089,0,0,4911,1.0,1.0,0.008900000000000019,9.075999696506187e-05
bell,X,10000,44,4990,0,0,5010,1.0,1.0,0.0010000000000000009,9.136299922829494e-05
bell,X,10000,45,5025,0,0,4975,1.0,1.0,0.0024999999999999745,6.712000322295353e-05
bell,X,10000,46,5056,0,0,4944,1.0,1.0,0.005600000000000022,6.516899884445593e-05
mixture,Z,100,42,55,0,0,45,1.0,1.0,0.05000000000000002,2.7009999030269682e-05
mixture,Z,100,43,43,0,0,57,1.0,1.0,0.06999999999999998,2.422000397928059e-05
mixture,Z,100,44,50,0,0,50,1.0,1.0,0.0,2.1838997781742364e-05
mixture,Z,100,45,52,0,0,48,1.0,1.0,0.020000000000000018,2.0717001461889595e-05
mixture,Z,100,46,50,0,0,50,1.0,1.0,0.0,2.0193998352624476e-05
mixture,Z,1000,42,487,0,0,513,1.0,1.0,0.013000000000000012,4.254599480191246e-05
mixture,Z,1000,43,529,0,0,471,1.0,1.0,0.029000000000000026,2.6005000108852983e-05
mixture,Z,1000,44,497,0,0,503,1.0,1.0,0.0030000000000000027,2.5303001166321337e-05
mixture,Z,1000,45,509,0,0,491,1.0,1.0,0.009000000000000008,2.5401997845619917e-05
mixture,Z,1000,46,523,0,0,477,1.0,1.0,0.02300000000000002,2.6002999220509082e-05
mixture,Z,10000,42,4909,0,0,5091,1.0,1.0,0.009099999999999997,4.033499862998724e-05
mixture,Z,10000,43,5089,0,0,4911,1.0,1.0,0.008900000000000019,2.58290019701235e-05
mixture,Z,10000,44,4990,0,0,5010,1.0,1.0,0.0010000000000000009,2.7592002879828215e-05
mixture,Z,10000,45,5025,0,0,4975,1.0,1.0,0.0024999999999999745,2.6490997697692364e-05
mixture,Z,10000,46,5056,0,0,4944,1.0,1.0,0.005600000000000022,3.255499905208126e-05
mixture,X,100,42,28,23,28,21,0.49,-0.020000000000000018,0.060000000000000026,7.99389963503927e-05
mixture,X,100,43,27,18,20,35,0.62,0.24,0.12,6.18639969616197e-05
mixture,X,100,44,20,24,27,29,0.49,-0.020000000000000018,0.06,6.484099867520854e-05
mixture,X,100,45,26,25,27,22,0.48,-0.04000000000000001,0.030000000000000124,5.610000516753644e-05
mixture,X,100,46,31,17,24,28,0.5900000000000001,0.18000000000000002,0.09000000000000001,5.3417003073263913e-05
mixture,X,1000,42,228,251,252,269,0.497,-0.006000000000000005,0.022000000000000117,5.4055999498814344e-05
mixture,X,1000,43,224,237,285,254,0.478,-0.04399999999999993,0.03899999999999999,5.629500083159655e-05
mixture,X,1000,44,248,241,241,270,0.518,0.03600000000000003,0.019999999999999907,5.9797006542794406e-05
mixture,X,1000,45,259,247,246,248,0.507,0.014000000000000012,0.008999999999999897,5.758999759564176e-05
mixture,X,1000,46,273,237,209,281,0.554,0.10800000000000007,0.054000000000000034,5.727900133933872e-05
mixture,X,10000,42,2422,2502,2506,2570,0.4992,-0.0015999999999999348,0.0078000000000000985,5.515699740499258e-05
mixture,X,10000,43,2576,2404,2553,2467,0.5043,0.008599999999999969,0.012900000000000009,5.332399450708181e-05
mixture,X,10000,44,2492,2465,2473,2570,0.5062,0.012400000000000022,0.006999999999999895,5.671500548487529e-05
mixture,X,10000,45,2522,2484,2488,2506,0.5027999999999999,0.005599999999999966,0.002799999999999983,5.4652002290822566e-05
mixture,X,10000,46,2551,2461,2555,2433,0.49839999999999995,-0.003200000000000036,0.010599999999999998,5.313499423209578e-05
